Season,Week,Date,Opponent,Completions,Attempts,Pass_Yds,Pass_TD,INT,Rush_Att,Rush_Yds,Rush_TD,Fantasy_Points,Def_Cmp_Allowed_pg,Def_Att_Allowed_pg,Def_PassYds_Allowed_pg,Def_PassTD_Allowed_pg,Def_INT_Forced_pg,Def_RushAtt_Allowed_pg,Def_RushYds_Allowed_pg,Def_RushTD_Allowed_pg,Def_Sacks_pg,Def_2PP_Allowed_pg,Def_FantasyPts_Allowed_pg,QB
2019,1.0,2019-09-08,DAL,3,4,17,0,0,1,5,0,-0.8199999999999998,22.9375,33.875,249.0,1.375,0.5625,4.5,15.4375,0.125,2.4375,0.0625,15.9,Daniel Jones
2019,3.0,2019-09-22,TB,23,36,336,2,0,4,28,2,32.239999999999995,24.125,33.3125,273.625,2.0625,0.5625,4.5,18.8125,0.125,2.375,0.0625,20.9,Daniel Jones
2019,4.0,2019-09-29,WAS,23,31,225,1,2,5,33,0,10.3,22.625,33.4375,255.6875,1.6875,0.9375,4.125,15.625,0.1875,2.875,0.125,17.6,Daniel Jones
2019,5.0,2019-10-06,MIN,21,38,182,1,1,3,12,0,10.48,19.625,31.3125,216.0625,0.9375,0.75,3.5625,15.625,0.1875,3.125,0.25,13.7,Daniel Jones
2019,6.0,2019-10-10,NE,15,31,161,1,3,2,8,0,5.240000000000002,23.0625,37.75,260.0,1.8125,1.125,2.75,18.9375,0.0625,1.875,,17.3,Daniel Jones
2019,7.0,2019-10-20,ARI,22,35,223,1,1,4,35,0,8.420000000000002,21.3125,31.5625,222.9375,1.25,0.4375,3.25,9.8125,0.25,3.0625,0.0625,14.9,Daniel Jones
2019,8.0,2019-10-27,DET,28,41,322,4,0,4,13,0,26.180000000000003,20.125,30.9375,243.0625,1.8125,0.4375,3.0,7.4375,0.125,2.6875,0.125,17.4,Daniel Jones
2019,9.0,2019-11-04,DAL,26,41,210,1,1,6,54,0,11.8,22.9375,33.875,249.0,1.375,0.5625,4.5,15.4375,0.125,2.4375,0.0625,15.9,Daniel Jones
2019,10.0,2019-11-10,NYJ,26,40,308,4,0,3,20,0,24.32,22.875,36.25,271.4375,1.8125,0.8125,3.875,22.0625,0.1875,2.4375,,19.8,Daniel Jones
2019,12.0,2019-11-24,CHI,21,36,150,2,0,2,27,0,14.7,23.4375,38.3125,237.375,1.3125,1.6875,1.875,11.5625,0.0625,3.125,0.1875,12.9,Daniel Jones
2019,13.0,2019-12-01,GB,20,37,240,1,3,5,6,0,6.199999999999999,20.8125,32.75,251.0625,1.8125,0.4375,3.625,11.625,0.0625,2.75,0.125,17.8,Daniel Jones
2019,16.0,2019-12-22,WAS,28,42,352,5,0,3,12,0,33.28,22.625,33.4375,255.6875,1.6875,0.9375,4.125,15.625,0.1875,2.875,0.125,17.6,Daniel Jones
2019,17.0,2019-12-29,PHI,28,47,301,1,1,3,26,0,12.64,25.9375,38.875,287.625,1.375,0.625,3.6875,16.3125,0.25,2.75,0.0625,18.5,Daniel Jones
2020,1.0,2020-09-14,PIT,26,41,279,2,2,4,22,0,17.36,19.5625,32.0,213.9375,1.4375,1.1875,4.4375,14.0625,0.125,3.375,,12.8,Daniel Jones
2020,2.0,2020-09-20,CHI,25,40,241,0,1,3,21,0,7.74,22.625,35.6875,237.25,1.0625,0.625,2.4375,10.4375,0.0625,2.0,0.0625,13.7,Daniel Jones
2020,3.0,2020-09-27,SF,17,32,179,0,1,5,49,0,8.06,19.8125,32.375,190.875,1.4375,0.75,4.5625,23.75,0.1875,3.0,0.125,15.2,Daniel Jones
2020,4.0,2020-10-04,LAR,23,36,190,0,1,6,45,0,8.1,21.75,35.125,245.5,1.4375,0.8125,3.75,13.5,0.125,3.125,,15.5,Daniel Jones
2020,5.0,2020-10-11,DAL,20,33,222,0,0,2,-7,0,6.1800000000000015,23.0,35.4375,240.375,1.25,0.4375,4.375,18.5,0.1875,2.4375,0.0625,16.1,Daniel Jones
2020,6.0,2020-10-18,WAS,12,19,112,1,1,7,74,0,13.88,23.1875,33.6875,255.8125,2.1875,0.8125,3.75,18.875,0.125,2.875,,19.5,Daniel Jones
